,2020-VINCI-Annual,max
Biodiversity and Land Use,593,593
Carbon Emissions,1,1
Climate Change Vulnerability,0,0
Electronic Waste,25,25
Financing Environmental Impact,24,24
Opportunities in Clean Tech,15,15
Opportunities in Green Building,3,3
Opportunities in Renewable Energy,19,19
Packaging Material and Waste,282,282
Product Carbon Footprint,3,3
Raw Material Sourcing,33,33
Toxic Emissions and Waste,4,4
Water Stress,250,250
Accounting,8,8
Board,1,1
Business Ethics,151,151
Ownership and Control,9,9
Pay,0,0
Tax Transparency,12,12
Access to Communications,0,0
Access to Finance,3,3
Access to Health Care,0,0
Chemical Safety,10,10
Community Relations,349,349
Controversial Sourcing,0,0
Financial Product Safety,1,1
Health and Demographic Risk,7,7
Health and Safety,411,411
Human Capital Development,128,128
Labor Management,570,570
Opportunities in Nutrition and Health,18,18
Privacy and Data Security,100,100
Product Safety and Quality,257,257
Responsible Investment,0,0
Supply Chain Labor Standards,291,291
Not ESG,2958,2958
