,2020-VODAFONE GROUP-Annual,max
Biodiversity and Land Use,75,75
Carbon Emissions,0,0
Climate Change Vulnerability,1,1
Electronic Waste,7,7
Financing Environmental Impact,42,42
Opportunities in Clean Tech,6,6
Opportunities in Green Building,0,0
Opportunities in Renewable Energy,3,3
Packaging Material and Waste,31,31
Product Carbon Footprint,0,0
Raw Material Sourcing,0,0
Toxic Emissions and Waste,0,0
Water Stress,24,24
Accounting,0,0
Board,0,0
Business Ethics,174,174
Ownership and Control,8,8
Pay,0,0
Tax Transparency,30,30
Access to Communications,6,6
Access to Finance,5,5
Access to Health Care,0,0
Chemical Safety,0,0
Community Relations,218,218
Controversial Sourcing,2,2
Financial Product Safety,8,8
Health and Demographic Risk,3,3
Health and Safety,128,128
Human Capital Development,157,157
Labor Management,380,380
Opportunities in Nutrition and Health,17,17
Privacy and Data Security,268,268
Product Safety and Quality,119,119
Responsible Investment,3,3
Supply Chain Labor Standards,154,154
Not ESG,3050,3050
