,2020-VOLKSWAGEN-Annual,2020-VOLKSWAGEN-Sustainability,max
Biodiversity and Land Use,116,267,267
Carbon Emissions,0,0,0
Climate Change Vulnerability,0,1,1
Electronic Waste,48,2,48
Financing Environmental Impact,29,1,29
Opportunities in Clean Tech,8,0,8
Opportunities in Green Building,0,0,0
Opportunities in Renewable Energy,4,0,4
Packaging Material and Waste,157,139,157
Product Carbon Footprint,3,1,3
Raw Material Sourcing,36,3,36
Toxic Emissions and Waste,5,0,5
Water Stress,35,108,108
Accounting,4,0,4
Board,0,0,0
Business Ethics,88,94,94
Ownership and Control,7,0,7
Pay,0,0,0
Tax Transparency,17,0,17
Access to Communications,0,0,0
Access to Finance,0,0,0
Access to Health Care,0,0,0
Chemical Safety,0,0,0
Community Relations,87,90,90
Controversial Sourcing,1,0,1
Financial Product Safety,6,0,6
Health and Demographic Risk,2,0,2
Health and Safety,117,98,117
Human Capital Development,47,65,65
Labor Management,360,199,360
Opportunities in Nutrition and Health,8,1,8
Privacy and Data Security,92,72,92
Product Safety and Quality,509,223,509
Responsible Investment,2,0,2
Supply Chain Labor Standards,193,135,193
Not ESG,2509,480,2509
