,2020-WALMART-ESG,2020-WALMART-10K,max
Biodiversity and Land Use,163,19,163
Carbon Emissions,0,0,0
Climate Change Vulnerability,1,0,1
Electronic Waste,0,2,2
Financing Environmental Impact,1,11,11
Opportunities in Clean Tech,0,1,1
Opportunities in Green Building,0,0,0
Opportunities in Renewable Energy,2,0,2
Packaging Material and Waste,101,8,101
Product Carbon Footprint,0,0,0
Raw Material Sourcing,1,6,6
Toxic Emissions and Waste,0,0,0
Water Stress,26,1,26
Accounting,0,2,2
Board,0,3,3
Business Ethics,84,161,161
Ownership and Control,0,2,2
Pay,0,4,4
Tax Transparency,0,16,16
Access to Communications,0,3,3
Access to Finance,0,2,2
Access to Health Care,0,0,0
Chemical Safety,1,2,2
Community Relations,151,151,151
Controversial Sourcing,0,2,2
Financial Product Safety,0,5,5
Health and Demographic Risk,0,0,0
Health and Safety,64,31,64
Human Capital Development,193,151,193
Labor Management,45,121,121
Opportunities in Nutrition and Health,2,18,18
Privacy and Data Security,27,114,114
Product Safety and Quality,38,34,38
Responsible Investment,0,0,0
Supply Chain Labor Standards,237,270,270
Not ESG,58,1103,1103
