,2020-WALT DISNEY-CSR,2020-WALT DISNEY-10K,max
Biodiversity and Land Use,69,28,69
Carbon Emissions,0,0,0
Climate Change Vulnerability,0,0,0
Electronic Waste,0,1,1
Financing Environmental Impact,0,4,4
Opportunities in Clean Tech,0,0,0
Opportunities in Green Building,0,0,0
Opportunities in Renewable Energy,2,0,2
Packaging Material and Waste,19,5,19
Product Carbon Footprint,2,0,2
Raw Material Sourcing,2,0,2
Toxic Emissions and Waste,5,0,5
Water Stress,23,3,23
Accounting,0,1,1
Board,1,1,1
Business Ethics,60,53,60
Ownership and Control,0,0,0
Pay,0,0,0
Tax Transparency,0,173,173
Access to Communications,1,1,1
Access to Finance,0,1,1
Access to Health Care,0,0,0
Chemical Safety,1,0,1
Community Relations,174,304,304
Controversial Sourcing,0,0,0
Financial Product Safety,0,1,1
Health and Demographic Risk,0,0,0
Health and Safety,49,29,49
Human Capital Development,157,59,157
Labor Management,75,123,123
Opportunities in Nutrition and Health,13,5,13
Privacy and Data Security,30,54,54
Product Safety and Quality,20,18,20
Responsible Investment,0,0,0
Supply Chain Labor Standards,70,134,134
Not ESG,54,1206,1206
