,2020-WELLS FARGO-Annual,max
Biodiversity and Land Use,24,24
Carbon Emissions,0,0
Climate Change Vulnerability,1,1
Electronic Waste,5,5
Financing Environmental Impact,45,45
Opportunities in Clean Tech,9,9
Opportunities in Green Building,0,0
Opportunities in Renewable Energy,1,1
Packaging Material and Waste,4,4
Product Carbon Footprint,0,0
Raw Material Sourcing,2,2
Toxic Emissions and Waste,0,0
Water Stress,11,11
Accounting,2,2
Board,0,0
Business Ethics,153,153
Ownership and Control,5,5
Pay,2,2
Tax Transparency,16,16
Access to Communications,5,5
Access to Finance,63,63
Access to Health Care,0,0
Chemical Safety,2,2
Community Relations,245,245
Controversial Sourcing,0,0
Financial Product Safety,1,1
Health and Demographic Risk,1,1
Health and Safety,69,69
Human Capital Development,115,115
Labor Management,151,151
Opportunities in Nutrition and Health,15,15
Privacy and Data Security,90,90
Product Safety and Quality,77,77
Responsible Investment,6,6
Supply Chain Labor Standards,143,143
Not ESG,2381,2381
