,2020-WESFARMERS-Annual,max
Biodiversity and Land Use,171,171
Carbon Emissions,1,1
Climate Change Vulnerability,0,0
Electronic Waste,2,2
Financing Environmental Impact,10,10
Opportunities in Clean Tech,1,1
Opportunities in Green Building,0,0
Opportunities in Renewable Energy,0,0
Packaging Material and Waste,89,89
Product Carbon Footprint,1,1
Raw Material Sourcing,1,1
Toxic Emissions and Waste,0,0
Water Stress,67,67
Accounting,0,0
Board,0,0
Business Ethics,44,44
Ownership and Control,1,1
Pay,0,0
Tax Transparency,4,4
Access to Communications,0,0
Access to Finance,0,0
Access to Health Care,0,0
Chemical Safety,0,0
Community Relations,210,210
Controversial Sourcing,0,0
Financial Product Safety,0,0
Health and Demographic Risk,1,1
Health and Safety,138,138
Human Capital Development,117,117
Labor Management,190,190
Opportunities in Nutrition and Health,8,8
Privacy and Data Security,58,58
Product Safety and Quality,75,75
Responsible Investment,0,0
Supply Chain Labor Standards,197,197
Not ESG,1313,1313
