,2020-WILMAR INTERNATIONAL-Annual,2020-WILMAR INTERNATIONAL-Sustainability,max
Biodiversity and Land Use,151,549,549
Carbon Emissions,0,0,0
Climate Change Vulnerability,0,0,0
Electronic Waste,1,1,1
Financing Environmental Impact,5,0,5
Opportunities in Clean Tech,3,0,3
Opportunities in Green Building,0,1,1
Opportunities in Renewable Energy,0,1,1
Packaging Material and Waste,35,88,88
Product Carbon Footprint,0,0,0
Raw Material Sourcing,2,3,3
Toxic Emissions and Waste,2,1,2
Water Stress,17,124,124
Accounting,3,0,3
Board,2,0,2
Business Ethics,51,47,51
Ownership and Control,5,1,5
Pay,0,0,0
Tax Transparency,5,0,5
Access to Communications,1,0,1
Access to Finance,1,0,1
Access to Health Care,0,0,0
Chemical Safety,1,0,1
Community Relations,89,209,209
Controversial Sourcing,1,0,1
Financial Product Safety,1,0,1
Health and Demographic Risk,0,0,0
Health and Safety,56,144,144
Human Capital Development,29,62,62
Labor Management,155,147,155
Opportunities in Nutrition and Health,3,2,3
Privacy and Data Security,30,37,37
Product Safety and Quality,60,107,107
Responsible Investment,1,0,1
Supply Chain Labor Standards,92,160,160
Not ESG,1008,191,1008
