,2020-WISTRON-CSR,2020-WISTRON-Annual,max
Biodiversity and Land Use,86,58,86
Carbon Emissions,0,0,0
Climate Change Vulnerability,0,0,0
Electronic Waste,1,60,60
Financing Environmental Impact,1,14,14
Opportunities in Clean Tech,0,7,7
Opportunities in Green Building,0,0,0
Opportunities in Renewable Energy,4,4,4
Packaging Material and Waste,39,39,39
Product Carbon Footprint,0,5,5
Raw Material Sourcing,0,14,14
Toxic Emissions and Waste,0,0,0
Water Stress,25,9,25
Accounting,0,6,6
Board,0,1,1
Business Ethics,59,92,92
Ownership and Control,0,7,7
Pay,0,0,0
Tax Transparency,1,6,6
Access to Communications,0,7,7
Access to Finance,0,13,13
Access to Health Care,0,0,0
Chemical Safety,0,4,4
Community Relations,34,64,64
Controversial Sourcing,0,3,3
Financial Product Safety,0,2,2
Health and Demographic Risk,0,1,1
Health and Safety,39,36,39
Human Capital Development,17,50,50
Labor Management,191,533,533
Opportunities in Nutrition and Health,1,8,8
Privacy and Data Security,64,88,88
Product Safety and Quality,58,129,129
Responsible Investment,0,4,4
Supply Chain Labor Standards,79,88,88
Not ESG,176,1619,1619
