,2020-WOOLWORTHS GROUP-Annual,max
Biodiversity and Land Use,60,60
Carbon Emissions,0,0
Climate Change Vulnerability,0,0
Electronic Waste,8,8
Financing Environmental Impact,8,8
Opportunities in Clean Tech,0,0
Opportunities in Green Building,0,0
Opportunities in Renewable Energy,5,5
Packaging Material and Waste,24,24
Product Carbon Footprint,0,0
Raw Material Sourcing,1,1
Toxic Emissions and Waste,0,0
Water Stress,5,5
Accounting,1,1
Board,0,0
Business Ethics,51,51
Ownership and Control,1,1
Pay,0,0
Tax Transparency,2,2
Access to Communications,0,0
Access to Finance,1,1
Access to Health Care,0,0
Chemical Safety,0,0
Community Relations,140,140
Controversial Sourcing,0,0
Financial Product Safety,4,4
Health and Demographic Risk,1,1
Health and Safety,83,83
Human Capital Development,94,94
Labor Management,163,163
Opportunities in Nutrition and Health,12,12
Privacy and Data Security,35,35
Product Safety and Quality,41,41
Responsible Investment,3,3
Supply Chain Labor Standards,205,205
Not ESG,993,993
