,2020-XIAMEN C_D-ESG,max
Biodiversity and Land Use,19,19
Carbon Emissions,0,0
Climate Change Vulnerability,0,0
Electronic Waste,5,5
Financing Environmental Impact,0,0
Opportunities in Clean Tech,0,0
Opportunities in Green Building,0,0
Opportunities in Renewable Energy,0,0
Packaging Material and Waste,23,23
Product Carbon Footprint,0,0
Raw Material Sourcing,6,6
Toxic Emissions and Waste,1,1
Water Stress,13,13
Accounting,0,0
Board,0,0
Business Ethics,6,6
Ownership and Control,0,0
Pay,0,0
Tax Transparency,0,0
Access to Communications,0,0
Access to Finance,0,0
Access to Health Care,0,0
Chemical Safety,0,0
Community Relations,21,21
Controversial Sourcing,0,0
Financial Product Safety,0,0
Health and Demographic Risk,0,0
Health and Safety,42,42
Human Capital Development,4,4
Labor Management,121,121
Opportunities in Nutrition and Health,0,0
Privacy and Data Security,19,19
Product Safety and Quality,73,73
Responsible Investment,1,1
Supply Chain Labor Standards,61,61
Not ESG,89,89
