,2020-XIAOMI-Sustainability,2020-XIAOMI-Annual,max
Biodiversity and Land Use,22,57,57
Carbon Emissions,0,0,0
Climate Change Vulnerability,0,0,0
Electronic Waste,0,7,7
Financing Environmental Impact,0,3,3
Opportunities in Clean Tech,0,0,0
Opportunities in Green Building,0,0,0
Opportunities in Renewable Energy,3,2,3
Packaging Material and Waste,30,72,72
Product Carbon Footprint,1,0,1
Raw Material Sourcing,1,1,1
Toxic Emissions and Waste,0,0,0
Water Stress,8,38,38
Accounting,0,1,1
Board,0,0,0
Business Ethics,22,116,116
Ownership and Control,0,0,0
Pay,0,0,0
Tax Transparency,0,1,1
Access to Communications,0,1,1
Access to Finance,0,1,1
Access to Health Care,0,0,0
Chemical Safety,0,0,0
Community Relations,30,103,103
Controversial Sourcing,0,0,0
Financial Product Safety,0,0,0
Health and Demographic Risk,0,0,0
Health and Safety,25,83,83
Human Capital Development,16,44,44
Labor Management,55,244,244
Opportunities in Nutrition and Health,0,5,5
Privacy and Data Security,30,178,178
Product Safety and Quality,54,259,259
Responsible Investment,0,1,1
Supply Chain Labor Standards,43,143,143
Not ESG,41,1524,1524
