,2020-YANKUANG GROUP-Annual,max
Biodiversity and Land Use,86,86
Carbon Emissions,0,0
Climate Change Vulnerability,0,0
Electronic Waste,4,4
Financing Environmental Impact,15,15
Opportunities in Clean Tech,1,1
Opportunities in Green Building,0,0
Opportunities in Renewable Energy,2,2
Packaging Material and Waste,47,47
Product Carbon Footprint,1,1
Raw Material Sourcing,13,13
Toxic Emissions and Waste,1,1
Water Stress,124,124
Accounting,0,0
Board,0,0
Business Ethics,35,35
Ownership and Control,7,7
Pay,0,0
Tax Transparency,4,4
Access to Communications,0,0
Access to Finance,1,1
Access to Health Care,0,0
Chemical Safety,3,3
Community Relations,63,63
Controversial Sourcing,0,0
Financial Product Safety,1,1
Health and Demographic Risk,1,1
Health and Safety,37,37
Human Capital Development,16,16
Labor Management,284,284
Opportunities in Nutrition and Health,1,1
Privacy and Data Security,18,18
Product Safety and Quality,56,56
Responsible Investment,4,4
Supply Chain Labor Standards,39,39
Not ESG,1770,1770
